data,hora,taxa
2024/08/29,09:20:16,9.900649533793558
2024/08/29,09:20:17,10.58739394280197
2024/08/29,09:20:18,10.04439834935146
2024/08/29,09:20:19,10.474620214082957
2024/08/29,09:20:20,10.765645989558704
2024/08/29,09:20:21,10.721553039320808
2024/08/29,09:20:22,10.52351041462355
2024/08/29,09:20:23,10.22696695306566
2024/08/29,09:20:24,10.894650791034689
2024/08/29,09:20:25,10.6353187759428
2024/08/29,09:21:06,10.135266323625666
2024/08/29,09:21:07,10.554038820584523
2024/08/29,09:21:08,10.890849362416109
2024/08/29,09:21:09,10.263943050101073
2024/08/29,09:21:10,10.615024968600043
2024/08/29,09:21:11,10.095272490515642
2024/08/29,09:21:12,10.450147700580846
2024/08/29,09:21:13,10.41294792623358
2024/08/29,09:21:14,10.172686930602822
2024/08/29,09:21:15,10.321950368187961
